@RELATION dados

@ATTRIBUTE A1	REAL
@ATTRIBUTE A2	REAL
@ATTRIBUTE A3	REAL
@ATTRIBUTE A4	REAL
@ATTRIBUTE A5	REAL
@ATTRIBUTE A6	REAL
@ATTRIBUTE A7	REAL
@ATTRIBUTE A8	REAL
@ATTRIBUTE A9	REAL
@ATTRIBUTE A10	REAL
@ATTRIBUTE A11	REAL
@ATTRIBUTE A12	REAL
@ATTRIBUTE A13	REAL
@ATTRIBUTE A14	REAL
@ATTRIBUTE A15	REAL
@ATTRIBUTE A16	REAL
@ATTRIBUTE A17	REAL
@ATTRIBUTE A18	REAL
@ATTRIBUTE A19	REAL
@ATTRIBUTE A20	REAL
@ATTRIBUTE A21	REAL
@ATTRIBUTE A22	REAL
@ATTRIBUTE A23	REAL
@ATTRIBUTE A24	REAL
@ATTRIBUTE A25	REAL
@ATTRIBUTE A26	REAL
@ATTRIBUTE A27	REAL
@ATTRIBUTE A28	REAL
@ATTRIBUTE A29	REAL
@ATTRIBUTE A30	REAL
@ATTRIBUTE A31	REAL
@ATTRIBUTE A32	REAL
@ATTRIBUTE A33	REAL
@ATTRIBUTE A34	REAL
@ATTRIBUTE A35	REAL
@ATTRIBUTE A36	REAL
@ATTRIBUTE A37	REAL
@ATTRIBUTE A38	REAL
@ATTRIBUTE class {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30}

@DATA
0.016997, 0.039660, 0.056657, 0.079320, 0.096317, 0.118980, 0.135977, 0.158640, 0.175637, 0.195467, 0.215297, 0.235127, 0.252125, 0.271955, 0.297450, 0.322946, 0.348442, 0.373938, 0.396601, 0.422096, 0.447592, 0.478754, 0.512748, 0.552408, 0.597734, 0.643059, 0.679887, 0.747875, 0.830028, 0.997167, 0.997167, 0.997167, 0.997167, 0.997167, 0.997167, 0.997167, 0.997167, 0.997167, 1
0.016807, 0.039216, 0.056022, 0.078431, 0.095238, 0.117647, 0.134454, 0.156863, 0.176471, 0.193277, 0.212885, 0.232493, 0.249300, 0.268908, 0.288515, 0.310924, 0.336134, 0.358543, 0.383754, 0.408964, 0.436975, 0.464986, 0.487395, 0.518207, 0.549020, 0.588235, 0.638655, 0.697479, 0.778711, 0.899160, 0.997199, 0.997199, 0.997199, 0.997199, 0.997199, 0.997199, 0.997199, 0.997199, 1
0.017241, 0.034483, 0.057471, 0.074713, 0.097701, 0.114943, 0.137931, 0.155172, 0.175287, 0.195402, 0.215517, 0.232759, 0.250000, 0.270115, 0.290230, 0.313218, 0.339080, 0.362069, 0.387931, 0.413793, 0.439655, 0.471264, 0.497126, 0.528736, 0.557471, 0.597701, 0.643678, 0.695402, 0.767241, 0.836207, 0.997126, 0.997126, 0.997126, 0.997126, 0.997126, 0.997126, 0.997126, 0.997126, 1
0.018237, 0.036474, 0.054711, 0.079027, 0.097264, 0.115502, 0.133739, 0.158055, 0.176292, 0.194529, 0.215805, 0.234043, 0.252280, 0.273556, 0.300912, 0.319149, 0.343465, 0.370821, 0.398176, 0.422492, 0.446809, 0.477204, 0.507599, 0.544073, 0.598784, 0.671733, 0.768997, 0.838906, 0.996960, 0.996960, 0.996960, 0.996960, 0.996960, 0.996960, 0.996960, 0.996960, 0.996960, 0.996960, 1
0.013699, 0.034247, 0.054795, 0.075342, 0.095890, 0.116438, 0.136986, 0.157534, 0.178082, 0.198630, 0.215753, 0.236301, 0.253425, 0.273973, 0.294521, 0.318493, 0.342466, 0.366438, 0.393836, 0.417808, 0.445205, 0.472603, 0.506849, 0.541096, 0.582192, 0.643836, 0.712329, 0.787671, 0.996575, 0.996575, 0.996575, 0.996575, 0.996575, 0.996575, 0.996575, 0.996575, 0.996575, 0.996575, 1
0.014925, 0.037313, 0.059701, 0.074627, 0.097015, 0.119403, 0.134328, 0.156716, 0.175373, 0.194030, 0.212687, 0.231343, 0.250000, 0.268657, 0.294776, 0.317164, 0.339552, 0.365672, 0.391791, 0.417910, 0.444030, 0.466418, 0.496269, 0.529851, 0.563433, 0.600746, 0.649254, 0.720149, 0.824627, 0.996269, 0.996269, 0.996269, 0.996269, 0.996269, 0.996269, 0.996269, 0.996269, 0.996269, 1
0.016713, 0.038997, 0.055710, 0.077994, 0.094708, 0.116992, 0.133705, 0.155989, 0.175487, 0.194986, 0.211699, 0.231198, 0.253482, 0.272981, 0.295265, 0.314763, 0.339833, 0.367688, 0.395543, 0.423398, 0.448468, 0.476323, 0.504178, 0.540390, 0.571031, 0.629526, 0.701950, 0.757660, 0.816156, 0.947075, 0.997214, 0.997214, 0.997214, 0.997214, 0.997214, 0.997214, 0.997214, 0.997214, 1
0.018182, 0.036364, 0.054545, 0.078788, 0.096970, 0.115152, 0.133333, 0.154545, 0.175758, 0.193939, 0.212121, 0.230303, 0.248485, 0.266667, 0.290909, 0.312121, 0.336364, 0.360606, 0.381818, 0.409091, 0.433333, 0.463636, 0.487879, 0.512121, 0.545455, 0.587879, 0.636364, 0.687879, 0.769697, 0.915152, 0.996970, 0.996970, 0.996970, 0.996970, 0.996970, 0.996970, 0.996970, 0.996970, 1
0.017442, 0.034884, 0.058140, 0.075581, 0.098837, 0.116279, 0.133721, 0.154070, 0.174419, 0.194767, 0.212209, 0.232558, 0.255814, 0.276163, 0.299419, 0.319767, 0.340116, 0.366279, 0.392442, 0.421512, 0.447674, 0.479651, 0.505814, 0.540698, 0.587209, 0.636628, 0.703488, 0.764535, 0.834302, 0.997093, 0.997093, 0.997093, 0.997093, 0.997093, 0.997093, 0.997093, 0.997093, 0.997093, 1
0.018100, 0.036199, 0.054299, 0.081448, 0.099548, 0.117647, 0.144796, 0.162896, 0.180995, 0.203620, 0.226244, 0.244344, 0.262443, 0.285068, 0.307692, 0.339367, 0.361991, 0.389140, 0.420814, 0.447964, 0.475113, 0.511312, 0.538462, 0.579186, 0.615385, 0.660633, 0.755656, 0.990950, 0.995475, 0.995475, 0.995475, 0.995475, 0.995475, 0.995475, 0.995475, 0.995475, 0.995475, 0.995475, 1
