@RELATION dados

@ATTRIBUTE A1	REAL
@ATTRIBUTE A2	REAL
@ATTRIBUTE A3	REAL
@ATTRIBUTE A4	REAL
@ATTRIBUTE A5	REAL
@ATTRIBUTE A6	REAL
@ATTRIBUTE A7	REAL
@ATTRIBUTE A8	REAL
@ATTRIBUTE A9	REAL
@ATTRIBUTE A10	REAL
@ATTRIBUTE A11	REAL
@ATTRIBUTE A12	REAL
@ATTRIBUTE A13	REAL
@ATTRIBUTE A14	REAL
@ATTRIBUTE A15	REAL
@ATTRIBUTE A16	REAL
@ATTRIBUTE A17	REAL
@ATTRIBUTE A18	REAL
@ATTRIBUTE A19	REAL
@ATTRIBUTE A20	REAL
@ATTRIBUTE A21	REAL
@ATTRIBUTE A22	REAL
@ATTRIBUTE A23	REAL
@ATTRIBUTE A24	REAL
@ATTRIBUTE A25	REAL
@ATTRIBUTE A26	REAL
@ATTRIBUTE A27	REAL
@ATTRIBUTE A28	REAL
@ATTRIBUTE A29	REAL
@ATTRIBUTE A30	REAL
@ATTRIBUTE A31	REAL
@ATTRIBUTE A32	REAL
@ATTRIBUTE A33	REAL
@ATTRIBUTE A34	REAL
@ATTRIBUTE A35	REAL
@ATTRIBUTE A36	REAL
@ATTRIBUTE A37	REAL
@ATTRIBUTE A38	REAL
@ATTRIBUTE A39	REAL
@ATTRIBUTE A40	REAL
@ATTRIBUTE A41	REAL
@ATTRIBUTE A42	REAL
@ATTRIBUTE A43	REAL
@ATTRIBUTE A44	REAL
@ATTRIBUTE A45	REAL
@ATTRIBUTE A46	REAL
@ATTRIBUTE A47	REAL
@ATTRIBUTE A48	REAL
@ATTRIBUTE A49	REAL
@ATTRIBUTE A50	REAL
@ATTRIBUTE A51	REAL
@ATTRIBUTE A52	REAL
@ATTRIBUTE A53	REAL
@ATTRIBUTE A54	REAL
@ATTRIBUTE A55	REAL
@ATTRIBUTE A56	REAL
@ATTRIBUTE A57	REAL
@ATTRIBUTE A58	REAL
@ATTRIBUTE A59	REAL
@ATTRIBUTE A60	REAL
@ATTRIBUTE A61	REAL
@ATTRIBUTE A62	REAL
@ATTRIBUTE A63	REAL
@ATTRIBUTE A64	REAL
@ATTRIBUTE A65	REAL
@ATTRIBUTE A66	REAL
@ATTRIBUTE A67	REAL
@ATTRIBUTE A68	REAL
@ATTRIBUTE A69	REAL
@ATTRIBUTE A70	REAL
@ATTRIBUTE A71	REAL
@ATTRIBUTE A72	REAL
@ATTRIBUTE A73	REAL
@ATTRIBUTE A74	REAL
@ATTRIBUTE A75	REAL
@ATTRIBUTE A76	REAL
@ATTRIBUTE class {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30}

@DATA
0.016997, 0.039660, 0.056657, 0.079320, 0.096317, 0.118980, 0.135977, 0.158640, 0.175637, 0.195467, 0.215297, 0.235127, 0.252125, 0.271955, 0.297450, 0.322946, 0.348442, 0.373938, 0.396601, 0.422096, 0.447592, 0.478754, 0.512748, 0.552408, 0.597734, 0.643059, 0.679887, 0.747875, 0.830028, 0.997167, 0.997167, 0.997167, 0.997167, 0.997167, 0.997167, 0.997167, 0.997167, 0.997167, 0.014959, 0.034476, 0.052019, 0.071167, 0.089111, 0.108307, 0.126636, 0.145977, 0.164178, 0.183807, 0.202746, 0.222681, 0.242454, 0.262646, 0.283094, 0.304424, 0.326461, 0.347776, 0.370920, 0.394113, 0.418509, 0.443467, 0.469693, 0.497107, 0.526062, 0.556669, 0.590343, 0.629104, 0.674510, 0.738037, 0.785770, 0.825237, 0.855749, 0.882488, 0.906050, 0.929195, 0.949466, 0.968245, 1
0.016807, 0.039216, 0.056022, 0.078431, 0.095238, 0.117647, 0.134454, 0.156863, 0.176471, 0.193277, 0.212885, 0.232493, 0.249300, 0.268908, 0.288515, 0.310924, 0.336134, 0.358543, 0.383754, 0.408964, 0.436975, 0.464986, 0.487395, 0.518207, 0.549020, 0.588235, 0.638655, 0.697479, 0.778711, 0.899160, 0.997199, 0.997199, 0.997199, 0.997199, 0.997199, 0.997199, 0.997199, 0.997199, 0.014892, 0.033865, 0.051848, 0.070460, 0.088710, 0.106945, 0.125054, 0.144623, 0.163187, 0.181798, 0.200818, 0.220057, 0.239688, 0.259162, 0.279500, 0.299524, 0.321054, 0.342380, 0.364381, 0.387041, 0.410250, 0.434323, 0.459478, 0.486187, 0.514072, 0.543496, 0.576058, 0.611241, 0.651586, 0.699590, 0.767680, 0.809139, 0.843679, 0.873322, 0.898508, 0.921420, 0.942714, 0.962816, 1
0.017241, 0.034483, 0.057471, 0.074713, 0.097701, 0.114943, 0.137931, 0.155172, 0.175287, 0.195402, 0.215517, 0.232759, 0.250000, 0.270115, 0.290230, 0.313218, 0.339080, 0.362069, 0.387931, 0.413793, 0.439655, 0.471264, 0.497126, 0.528736, 0.557471, 0.597701, 0.643678, 0.695402, 0.767241, 0.836207, 0.997126, 0.997126, 0.997126, 0.997126, 0.997126, 0.997126, 0.997126, 0.997126, 0.014995, 0.032584, 0.052154, 0.069874, 0.089047, 0.106520, 0.125842, 0.144008, 0.163413, 0.181679, 0.201199, 0.219778, 0.239926, 0.259446, 0.279809, 0.300205, 0.321245, 0.342268, 0.364728, 0.387155, 0.411134, 0.435130, 0.460266, 0.486507, 0.514450, 0.543615, 0.575637, 0.608502, 0.647097, 0.692578, 0.761924, 0.811270, 0.847123, 0.877758, 0.904561, 0.926807, 0.946410, 0.965005, 1
0.018237, 0.036474, 0.054711, 0.079027, 0.097264, 0.115502, 0.133739, 0.158055, 0.176292, 0.194529, 0.215805, 0.234043, 0.252280, 0.273556, 0.300912, 0.319149, 0.343465, 0.370821, 0.398176, 0.422492, 0.446809, 0.477204, 0.507599, 0.544073, 0.598784, 0.671733, 0.768997, 0.838906, 0.996960, 0.996960, 0.996960, 0.996960, 0.996960, 0.996960, 0.996960, 0.996960, 0.996960, 0.996960, 0.016426, 0.034035, 0.051201, 0.070786, 0.089818, 0.107852, 0.126218, 0.145342, 0.164577, 0.184015, 0.203250, 0.223002, 0.242865, 0.262747, 0.283959, 0.305226, 0.326364, 0.348814, 0.372003, 0.395414, 0.420063, 0.446153, 0.472889, 0.501233, 0.532682, 0.566661, 0.606203, 0.649828, 0.712687, 0.758012, 0.793119, 0.824771, 0.853300, 0.877893, 0.900546, 0.921721, 0.941122, 0.958971, 1
0.013699, 0.034247, 0.054795, 0.075342, 0.095890, 0.116438, 0.136986, 0.157534, 0.178082, 0.198630, 0.215753, 0.236301, 0.253425, 0.273973, 0.294521, 0.318493, 0.342466, 0.366438, 0.393836, 0.417808, 0.445205, 0.472603, 0.506849, 0.541096, 0.582192, 0.643836, 0.712329, 0.787671, 0.996575, 0.996575, 0.996575, 0.996575, 0.996575, 0.996575, 0.996575, 0.996575, 0.996575, 0.996575, 0.013699, 0.033097, 0.051651, 0.070956, 0.088971, 0.108111, 0.127885, 0.146510, 0.165369, 0.184580, 0.204236, 0.224104, 0.244230, 0.264660, 0.285349, 0.306436, 0.327758, 0.349690, 0.373733, 0.396650, 0.420740, 0.446472, 0.473260, 0.502322, 0.532534, 0.565655, 0.602857, 0.646392, 0.709444, 0.759828, 0.798133, 0.831183, 0.859237, 0.885157, 0.908050, 0.929091, 0.948607, 0.968639, 1
0.014925, 0.037313, 0.059701, 0.074627, 0.097015, 0.119403, 0.134328, 0.156716, 0.175373, 0.194030, 0.212687, 0.231343, 0.250000, 0.268657, 0.294776, 0.317164, 0.339552, 0.365672, 0.391791, 0.417910, 0.444030, 0.466418, 0.496269, 0.529851, 0.563433, 0.600746, 0.649254, 0.720149, 0.824627, 0.996269, 0.996269, 0.996269, 0.996269, 0.996269, 0.996269, 0.996269, 0.996269, 0.996269, 0.013867, 0.032580, 0.050039, 0.069197, 0.087909, 0.106148, 0.124916, 0.144074, 0.162815, 0.181165, 0.201158, 0.220121, 0.239725, 0.259718, 0.279906, 0.300791, 0.322093, 0.343980, 0.365198, 0.388644, 0.412230, 0.436595, 0.461796, 0.488444, 0.516568, 0.546530, 0.579556, 0.614363, 0.658220, 0.715694, 0.765816, 0.813154, 0.847600, 0.875640, 0.900674, 0.921029, 0.942610, 0.965889, 1
0.016713, 0.038997, 0.055710, 0.077994, 0.094708, 0.116992, 0.133705, 0.155989, 0.175487, 0.194986, 0.211699, 0.231198, 0.253482, 0.272981, 0.295265, 0.314763, 0.339833, 0.367688, 0.395543, 0.423398, 0.448468, 0.476323, 0.504178, 0.540390, 0.571031, 0.629526, 0.701950, 0.757660, 0.816156, 0.947075, 0.997214, 0.997214, 0.997214, 0.997214, 0.997214, 0.997214, 0.997214, 0.997214, 0.014866, 0.034016, 0.051707, 0.070344, 0.088314, 0.106765, 0.124968, 0.144366, 0.162817, 0.181671, 0.200821, 0.220234, 0.239958, 0.259573, 0.279995, 0.300355, 0.321847, 0.343806, 0.366028, 0.389305, 0.412908, 0.437830, 0.463435, 0.490933, 0.518835, 0.549297, 0.582320, 0.618741, 0.660796, 0.714194, 0.773768, 0.811524, 0.844065, 0.871517, 0.896176, 0.918429, 0.938059, 0.956603, 1
0.018182, 0.036364, 0.054545, 0.078788, 0.096970, 0.115152, 0.133333, 0.154545, 0.175758, 0.193939, 0.212121, 0.230303, 0.248485, 0.266667, 0.290909, 0.312121, 0.336364, 0.360606, 0.381818, 0.409091, 0.433333, 0.463636, 0.487879, 0.512121, 0.545455, 0.587879, 0.636364, 0.687879, 0.769697, 0.915152, 0.996970, 0.996970, 0.996970, 0.996970, 0.996970, 0.996970, 0.996970, 0.996970, 0.016070, 0.033388, 0.051148, 0.069991, 0.088577, 0.106648, 0.124426, 0.143893, 0.162314, 0.181010, 0.200349, 0.219302, 0.238567, 0.257888, 0.278843, 0.299082, 0.319486, 0.341267, 0.363361, 0.385197, 0.408907, 0.433444, 0.458072, 0.484481, 0.512213, 0.541396, 0.573462, 0.607971, 0.649073, 0.702718, 0.761506, 0.804885, 0.840165, 0.869238, 0.895886, 0.918531, 0.939284, 0.959725, 1
0.017442, 0.034884, 0.058140, 0.075581, 0.098837, 0.116279, 0.133721, 0.154070, 0.174419, 0.194767, 0.212209, 0.232558, 0.255814, 0.276163, 0.299419, 0.319767, 0.340116, 0.366279, 0.392442, 0.421512, 0.447674, 0.479651, 0.505814, 0.540698, 0.587209, 0.636628, 0.703488, 0.764535, 0.834302, 0.997093, 0.997093, 0.997093, 0.997093, 0.997093, 0.997093, 0.997093, 0.997093, 0.997093, 0.015633, 0.033413, 0.052579, 0.070951, 0.088967, 0.107507, 0.126115, 0.144926, 0.163602, 0.182987, 0.202204, 0.221353, 0.241752, 0.261510, 0.282399, 0.302968, 0.323993, 0.346370, 0.368713, 0.392425, 0.416323, 0.441320, 0.467804, 0.495116, 0.525081, 0.556433, 0.589981, 0.627856, 0.675990, 0.741330, 0.785391, 0.820832, 0.849446, 0.874949, 0.898814, 0.919095, 0.937838, 0.957409, 1
0.018100, 0.036199, 0.054299, 0.081448, 0.099548, 0.117647, 0.144796, 0.162896, 0.180995, 0.203620, 0.226244, 0.244344, 0.262443, 0.285068, 0.307692, 0.339367, 0.361991, 0.389140, 0.420814, 0.447964, 0.475113, 0.511312, 0.538462, 0.579186, 0.615385, 0.660633, 0.755656, 0.990950, 0.995475, 0.995475, 0.995475, 0.995475, 0.995475, 0.995475, 0.995475, 0.995475, 0.995475, 0.995475, 0.016584, 0.033906, 0.051268, 0.072644, 0.090621, 0.110153, 0.129686, 0.149096, 0.168342, 0.188489, 0.208595, 0.228701, 0.249708, 0.269937, 0.291476, 0.313958, 0.336357, 0.359329, 0.383366, 0.407936, 0.433365, 0.461416, 0.490121, 0.520137, 0.554166, 0.591225, 0.636392, 0.696669, 0.751909, 0.795315, 0.828116, 0.858991, 0.882824, 0.904281, 0.923364, 0.940808, 0.956205, 0.971233, 1
